Unidad Primaria de Muestreo,Vivienda seleccionada,Consecutivo del hogar en la vivienda,Consecutivo del residente habitual miembro del hogar,,Clave Llave única para cada migrante internacional delcalrado en el hogar en la base (UPM+VIV_SEL+HOGAR+N_REN),Clave única de identificación del hogar (UPM+VIV_SEL+ HOGAR),Clave única de identificación de la vivienda (UPM+VIV_SEL+HOGAR),Clave de Entidad Federativa de levantamiento de la información,Clave de tamaño de localidad,"P4.4 Cuando (NOMBRE) se fue la última vez, ¿vivía con ustedes?",P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otra entidad),P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otro país),P4.6 (NOMBRE) es hombre o mujer,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar?,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar? (Otro parentesco),"P4.8 La última vez que (NOMBRE) se fue, ¿cuántos años cumplidos tenía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía? (Otra entidad)",P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Mes),P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Año),P4.11 ¿A qué país se fue (NOMBRE) la última vez?,P4.11 ¿A qué país se fue (NOMBRE) la última vez? (Otro país),P4.12 ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)?,P4.12C ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)? (Otro estado),"P4.13 Cuando (NOMBRE) se fue la última vez, ¿qué tipo de documento llevaba?",P4.14 ¿Cuál fue el motivo principal por el que (NOMBRE) se fue la última vez?,P4.14A ¿Se fue a buscar trabajo? ¿Con trabajo?,,P4.15 ¿En qué país vive actualmente (NOMBRE)?,P4.15 ¿En qué país vive actualmente (NOMBRE)? (Otro país),P4.16 ¿En qué estado de EUA vive actualmente (NOMBRE)?,,"P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía?","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro estado)","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro país)",P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Mes),P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Año),P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó?,P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó? (Otro motivo),P4.20 (NOMBRE) actualmente forma parte de este hogar?,P4.20 Número de renglón en la lista de personas,Factor de expansión a nivel vivienda,"Tamaño de localidad, segunda agrupación","Tamaño de localidad, tercera agrupación",P4.8.AG1 Edad al emigrar ( grupos quinquenales),P4.8.AG2 Edad al emigrar por grandes grupos,Condición de tenencia de documento para ingresar a EUA,Condición de retorno a México,Duración de migración (en meses),Duración de migración (agrupado),Estrato sociodemográfico,Estrato de diseño muestral,Unidad Primaria de Muestreo
1002698,14,1,1,100270000000.0,,1002698141,100269814,Durango,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Hija(o),,23,"Aquí, en este estado",,Abril,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Arizona,ARIZONA,,,,,,,,,,161,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,167,5189
2301646,2,1,1,230165000000.0,230165000000.0,2301646021,230164602,Quintana Roo,Localidad de 100 000 y más habitantes,Sí,En otro estado,Guerrero,,Mujer,Jefa(e),,46,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Reunirse con la familia,,,2,,,,California,,,Noviembre,2013.0,Otro motivo,Otro motivo,Sí,1.0,193,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,Retornó,3.0,Menos de un año,Alto,402,10772
2601834,3,1,1,260183000000.0,260183000000.0,2601834031,260183403,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Mujer,Hija(o),,41,"Aquí, en este estado",,Mayo,2014,Otro país,REPUBLICA PORTUGUESA,,,,Reunirse con la familia,,,2,,,,Otro país,,REPUBLICA PORTUGUESA,Febrero,2018.0,Falta de trabajo,,Sí,2.0,204,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,,Retornó,45.0,De 3 a 5 años,Medio alto,452,12200
2601834,3,1,2,260183000000.0,260183000000.0,2601834031,260183403,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Nieta(o),,3,"Aquí, en este estado",,Mayo,2014,Otro país,REPUBLICA PORTUGUESA,,,,Reunirse con la familia,,,2,,,,Otro país,,REPUBLICA PORTUGUESA,Febrero,2018.0,Reunirse con la familia,,Sí,3.0,204,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,00 a 05 años,00 a 17 años,,Retornó,45.0,De 3 a 5 años,Medio alto,452,12200
202187,1,1,1,20218701101.0,,202187011,20218701,Baja California,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Baja California,,Mujer,Esposa(o) o compañera(o),,42,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,312,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio alto,21,705
601277,12,1,1,60127712101.0,,601277121,60127712,Colima,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Colima,,Mujer,Hija(o),,23,"Aquí, en este estado",,Mayo,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,60,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,100,3085
2260337,8,1,1,226034000000.0,,2260337081,226033708,Querétaro,Localidad menor de 2 500 habitantes,Sí,En otro estado,Hidalgo,,Hombre,Jefa(e),,35,"Aquí, en este estado",,Diciembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,No sabe,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Florida,FLORIDA,,,,,,,,,,134,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,No sabe,No retornó,,,Bajo,397,10420
2201549,2,1,1,220155000000.0,220155000000.0,2201549021,220154902,Querétaro,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Querétaro,,Mujer,Hija(o),,21,"Aquí, en este estado",,Octubre,2017,Otro país,REINO DE ESPAÑA,,,,Estudiar,,,2,,,,Otro país,,REINO DE ESPAÑA,Mayo,2018.0,Terminó estudios,,Sí,3.0,245,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,,Retornó,7.0,Menos de un año,Medio bajo,382,10192
100199,3,1,1,10019903101.0,,100199031,10019903,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Mujer,Hija(o),,32,"Aquí, en este estado",,Enero,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,92,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,Con documento,No retornó,,,Medio alto,2,46
160174,4,1,1,16017404101.0,,160174041,16017404,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Hija(o),,31,"Aquí, en este estado",,Noviembre,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,,,,,,,,,,96,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,12,518
1302351,11,1,1,130235000000.0,,1302351111,130235111,Hidalgo,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Hidalgo,,Hombre,Esposa(o) o compañera(o),,35,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,GEORGIA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,GEORGIA,,,,,,,,,,267,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,230,6188
1401413,2,1,1,140141000000.0,140141000000.0,1401413021,140141302,Jalisco,Localidad de 100 000 y más habitantes,Sí,En otro estado,Michoacán de Ocampo,,Hombre,Hija(o),,24,"Aquí, en este estado",,Junio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,Visa de turista,Otro motivo,,No sabe,2,,,,Otro estado,CAROLINA DEL NORTE,,Enero,2018.0,Reunirse con la familia,,Sí,5.0,584,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,7.0,Menos de un año,Medio alto,236,6375
2260535,3,1,1,226054000000.0,,2260535031,226053503,Querétaro,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Hija(o),,24,"Aquí, en este estado",,Mayo,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,151,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Bajo,397,10437
2260535,3,1,2,226054000000.0,,2260535031,226053503,Querétaro,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Hija(o),,25,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,151,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Bajo,397,10437
2260535,3,1,3,226054000000.0,,2260535031,226053503,Querétaro,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Hija(o),,27,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,151,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Bajo,397,10437
160041,10,1,1,16004110101.0,,160041101,16004110,Aguascalientes,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Hija(o),,17,"Aquí, en este estado",,Septiembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,78,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,12,503
1301191,5,1,1,130119000000.0,130119000000.0,1301191051,130119105,Hidalgo,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Hidalgo,,Hombre,Jefa(e),,30,"Aquí, en este estado",,Enero,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Arizona,,Otro documento,Buscar trabajo o trabajar,,,2,,,,Arizona,,,Julio,2016.0,Otro motivo,Otro motivo,Sí,1.0,226,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,Con documento,Retornó,30.0,De un año a 3 años,Medio bajo,227,6129
1100504,2,1,1,110050000000.0,110050000000.0,1100504021,110050402,Guanajuato,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Hija(o),,19,"Aquí, en este estado",,Febrero,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,2,,,,California,,,Octubre,2017.0,Le deportaron (regresaron),,Sí,3.0,494,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Sin documento,Retornó,8.0,Menos de un año,Medio bajo,181,5289
1100059,1,1,1,110006000000.0,,1100059011,110005901,Guanajuato,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Nieta(o),,23,"Aquí, en este estado",,Noviembre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,470,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Alto,183,5273
1605818,16,1,1,160582000000.0,,1605818161,160581816,Michoacán de Ocampo,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Hija(o),,20,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,PENNSYLVANIA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,PENNSYLVANIA,,,,,,,,,,341,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,293,7651
1603851,12,1,2,160385000000.0,,1603851121,160385112,Michoacán de Ocampo,Localidad de 15 000 a 99 999 habitantes,Sí,En otro estado,Ciudad de México,,Hombre,Hija(o),,26,"Aquí, en este estado",,Febrero,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,425,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,288,7598
202156,4,1,1,20215604101.0,20215604101.0,202156041,20215604,Baja California,Localidad de 100 000 y más habitantes,Sí,En otro estado,Campeche,,Hombre,Jefa(e),,36,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,California,,,Julio,2018.0,Falta de trabajo,,Sí,1.0,316,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Con documento,Retornó,1.0,Menos de un año,Medio alto,21,699
205793,2,1,1,20579302101.0,20579302102.0,205793021,20579302,Baja California,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Baja California,,Hombre,Hija(o),,22,"Aquí, en este estado",,Junio,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Buscar trabajo o trabajar,,,2,,,,California,,,Mayo,2017.0,Reunirse con la familia,,Sí,2.0,292,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,11.0,Menos de un año,Alto,16,1005
506215,9,1,1,50621509101.0,,506215091,50621509,Coahuila de Zaragoza,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Coahuila de Zaragoza,,Hombre,Jefa(e),,35,"Aquí, en este estado",,Enero,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,239,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,Con documento,No retornó,,,Medio alto,87,2557
2604868,3,1,2,260487000000.0,,2604868031,260486803,Sonora,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,0,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,Es ciudadano(a) estadounidense,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,,,,,,,,,,275,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,00 a 05 años,00 a 17 años,Con documento,No retornó,,,Medio alto,463,12493
2604868,3,1,1,260487000000.0,,2604868031,260486803,Sonora,Localidad de 100 000 y más habitantes,Sí,En otro estado,Chihuahua,,Mujer,Esposa(o) o compañera(o),,41,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,COLORADO,,,,,,,,,,275,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio alto,463,12493
102334,4,1,1,10233404101.0,,102334041,10233404,Aguascalientes,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Esposa(o) o compañera(o),,37,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,105,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,10,492
102334,4,1,2,10233404102.0,,102334041,10233404,Aguascalientes,Localidad de 2 500 a 14 999 habitantes,Sí,En Estados Unidos de América,,,Hombre,Hija(o),,16,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,105,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,10,492
2505227,19,1,1,250523000000.0,,2505227191,250522719,Sinaloa,Localidad de 2 500 a 14 999 habitantes,Sí,En otro estado,Veracruz de Ignacio de la Llave,,Hombre,Nuera/yerno,,28,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Nueva York,NUEVA YORK,,,,,,,,,,218,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,447,11976
301055,7,1,1,30105507101.0,30105507101.0,301055071,30105507,Baja California Sur,Localidad de 15 000 a 99 999 habitantes,Sí,En otro estado,Ciudad de México,,Hombre,Jefa(e),,4,En otro estado,Ciudad de México,Fecha de emigración no especificada,9999,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Illinois,,Ningún documento,Reunirse con la familia,,,2,,,,Otro estado,ESTADO DE EEUU NO ESPECIFICADO,,Octubre,2015.0,Le deportaron (regresaron),,Sí,1.0,98,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,00 a 05 años,00 a 17 años,Sin documento,Retornó,99.0,No especificado,Alto,42,1522
1002780,5,1,1,100278000000.0,100278000000.0,1002780051,100278005,Durango,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Jefa(e),,49,"Aquí, en este estado",,Fecha de emigración no especificada,9999,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Buscar trabajo o trabajar,,,2,,,,California,,,Noviembre,2015.0,Otro motivo,Otro motivo,Sí,1.0,140,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,Retornó,99.0,No especificado,Medio bajo,167,5193
1002780,5,1,2,100278000000.0,100278000000.0,1002780051,100278005,Durango,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Durango,,Mujer,Esposa(o) o compañera(o),,48,"Aquí, en este estado",,Fecha de emigración no especificada,9999,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para residir,Reunirse con la familia,,,2,,,,California,,,Noviembre,2015.0,Reunirse con la familia,,Sí,2.0,140,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,Retornó,99.0,No especificado,Medio bajo,167,5193
1409155,4,1,1,140916000000.0,140916000000.0,1409155041,140915504,Jalisco,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Jalisco,,Mujer,Hija(o),,29,"Aquí, en este estado",,Octubre,2015,Otro país,REINO DE ESPAÑA,,,,Estudiar,,,2,,,,Otro país,,REINO DE ESPAÑA,Septiembre,2016.0,Terminó estudios,,Sí,3.0,945,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,,Retornó,11.0,Menos de un año,Alto,237,6700
3063180,6,1,1,306318000000.0,306318000000.0,3063180061,306318006,Veracruz de Ignacio de la Llave,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Veracruz de Ignacio de la Llave,,Mujer,Jefa(e),,22,"Aquí, en este estado",,Abril,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,ALABAMA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Otro estado,ALABAMA,,Febrero,2017.0,Falta de trabajo,,Sí,1.0,686,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,Retornó,10.0,Menos de un año,Bajo,579,14394
3063180,7,1,1,306318000000.0,306318000000.0,3063180071,306318007,Veracruz de Ignacio de la Llave,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Veracruz de Ignacio de la Llave,,Hombre,Hija(o),,19,"Aquí, en este estado",,Octubre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Florida,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Florida,,,Mayo,2018.0,Falta de trabajo,,Sí,3.0,686,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,19.0,De un año a 3 años,Bajo,579,14394
3063180,9,1,2,306318000000.0,,3063180091,306318009,Veracruz de Ignacio de la Llave,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Veracruz de Ignacio de la Llave,,Hombre,Hija(o),,26,"Aquí, en este estado",,Noviembre,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Florida,FLORIDA,,,,,,,,,,686,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Bajo,579,14394
3063180,9,1,3,306318000000.0,,3063180091,306318009,Veracruz de Ignacio de la Llave,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Veracruz de Ignacio de la Llave,,Hombre,Hija(o),,18,"Aquí, en este estado",,Noviembre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Florida,FLORIDA,,,,,,,,,,686,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Con documento,No retornó,,,Bajo,579,14394
1160123,1,1,1,116012000000.0,,1160123011,116012301,Guanajuato,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Esposa(o) o compañera(o),,60,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,425,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,60 a 64 años,60 y más años,Con documento,No retornó,,,Medio bajo,196,5632
1160123,1,1,2,116012000000.0,,1160123011,116012301,Guanajuato,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Hija(o),,26,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,425,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,196,5632
1160123,1,1,3,116012000000.0,,1160123011,116012301,Guanajuato,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Hija(o),,21,"Aquí, en este estado",,Marzo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,425,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,196,5632
1160123,4,1,1,116012000000.0,,1160123041,116012304,Guanajuato,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Guanajuato,,Hombre,Hija(o),,19,"Aquí, en este estado",,Julio,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,425,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Sin documento,No retornó,,,Medio bajo,196,5632
